#,Name,Price,Area(sqft),Build_Time,Type,Location,Distance_to_MRT,Availability,Beds_num,Baths_num,Is_room,District_id,Longitude,Latitude
162,YewTee Residences,1000,85,2009,Apartment,YewTee Residences,100,Everyone Welcome,1,0,Yes,,,
163,The Sunny Spring,1100,80,1998,Apartment,50 Lorong 40 Geylang,640,Everyone Welcome,1,0,Yes,,,
164,The 101,1300,80,1986,Apartment,101 Beach Road,440,Everyone Welcome,1,0,Yes,,,
165,Ever Lodge,1150,80,1999,Apartment,685 Geylang Road,670,Everyone Welcome,1,0,Yes,,,
166,La Brisa,1480,70,2014,Apartment,50 Lorong 28 Geylang,670,Everyone Welcome,1,0,Yes,,,
167,20 Kim Tian Road,951,70,-,Apartment,20 Kim Tian Road,420,Everyone Welcome,1,0,Yes,,,
168,The Sail @ Marina Bay,2000,66,2008,Apartment,"4 Marina Blvd, Singapore 018987",250,Everyone Welcome,1,0,Yes,,,
169,Balestier Plaza,1500,450,1985,Apartment,"400 Balestier Rd, Singapore 329802",1290,Everyone Welcome,1,0,Yes,,,
170,YCK 332,1880,300,-,Apartment,14A Yio Chu Kang Road,740,Everyone Welcome,1,1,,,,
171,Lian Beng Building ,1800,250,-,Apartment,985 Upper Serangoon Road,350,Everyone Welcome,1,1,,,,
172,Rajah Towers ,1150,250,1984,Apartment,32 Jalan Rajah,1160,Everyone Welcome,1,0,Yes,,,
173,Lagoon View,1280,200,1977,Apartment,5000J Marine Parade Rd,380,Everyone Welcome,1,0,Yes,,,
174,Cassia Edge,2000,200,2018,Apartment,343 Guillemard Road,660,Everyone Welcome,1,1,,,,
175,CHEAP! MASTERROOM,1700,200,-,Apartment,near Aljunied,640,Everyone Welcome,1,0,Yes,,,
176,Jalan Besar Plaza,1400,200,1980,Apartment,101 Kitchener Rd,460,Everyone Welcome,1,0,Yes,,,
177,Master room Bugis,1680,200,-,Apartment,77 Aliwal St,610,Everyone Welcome,1,1,Yes,,,
178,Birmingham Mansions,1400,200,1998,Apartment,repeat,320,Everyone Welcome,1,0,Yes,,,
179,Wing Fong Mansions,2000,200,1997,Apartment,12 Lorong 14 Geylang,920,Everyone Welcome,1,0,Yes,,,
180,Kentish Court,1400,200,2000,Apartment,33 Oxford Road,510,Everyone Welcome,1,0,Yes,,,
181,Top Ten,1880,200,1989,Apartment,134 Emerald Hill Road,710,Everyone Welcome,1,0,Yes,,,
182,Braddell View,1250,200,1981,Apartment,10B Braddell Hill,840,Female only,1,0,Yes,,,
183,La Brisa,1900,180,2014,Apartment,"50 Lor 28 Geylang, Singapore 398453",670,Everyone Welcome,1,0,Yes,,,
184,30A Norris Road,1800,180,-,Apartment,30A Norris Road,420,Everyone Welcome,1,1,Yes,,,
185,Cavenagh Court,1500,180,1971,Apartment,151 Cavenagh Road,980,Everyone Welcome,1,0,Yes,,,
186,Fuyuen Court,1800,150,1997,Apartment,22 Lorong 35 Geylang,600,Everyone Welcome,1,1,Yes,,,
187,Balestier Regency,600,150,1990,Apartment,4 Jalan Ampas,1520,Everyone Welcome,1,0,Yes,,,
188,Cavenagh Gardens,1500,150,1975,Apartment,69 Cavenagh Road,1000,Everyone Welcome,1,0,Yes,,,
189,The Rise @ Oxley,1800,150,2018,Apartment,73 Oxley Rise,560,Everyone Welcome,1,0,Yes,,,
190,Parc Life,1200,150,-,Apartment,Sembawang Crescent,800,Everyone Welcome,1,0,Yes,,,
191,People's Park Complex,1280,150,-,Apartment,1 Park Road,160,Everyone Welcome,1,0,Yes,,,
192,Sherwood Towers,1300,150,1980,Apartment,"3 Jalan Anak Bukit, Singapore 588998",620,Everyone Welcome,1,0,Yes,,,
193,Palm Lodge,1500,145,1992,Apartment,4 Geylang Lor 37,600,Everyone Welcome,1,0,Yes,,,
194,The Centris,1450,140,2009,Apartment,69 Jurong West Central 3,110,Everyone Welcome,1,0,Yes,,,
195,Newton 21,2000,140,2002,Apartment,21 Newton Road,420,Everyone Welcome,1,0,Yes,,,
196,Grandlink Square,1500,130,1998,Apartment,511 Guillemard Rd,540,Everyone Welcome,1,0,Yes,,,
197,Common Room (HDB) for Rent in 175 Woodlands Street 13,1200,200,-,HDB,Woodlands Street 13,427,Everyone Welcome,1,0,Yes,,,
198,Common Room (HDB) for Rent in 441 Jurong West Avenue 1,850,200,-,HDB,Jurong West Avenue 1,759,Everyone Welcome,1,0,Yes,,,
199,Common Room (Condo) for Rent in Simsville,1400,100,1998,Condo,Simsville,358,Everyone Welcome,1,0,Yes,,,
200,Common Room (Condo) for Rent in Sea Esta,1200,133,2015,Condo,Sea Esta,154,Everyone Welcome,1,0,Yes,,,
201,Common Room (HDB) for Rent in 101 Jurong East Street 13,1080,120,1982,HDB,Jurong East Street 13,463,Everyone Welcome,1,0,Yes,,,
202,Common Room (HDB) for Rent in 646 Jurong West Street 61,900,139,-,HDB,Jurong West Street 61,204,Everyone Welcome,1,0,Yes,,,
203,Master Room (Condo) for Rent in Orchid Park Condominium,1550,120,1994,Condo,Orchid Park Condominium,598,Everyone Welcome,1,1,Yes,,,
204,Master Room (Condo) for Rent in Ballota Park Condominium,1800,150,2000,Condo,Ballota Park Condominium,437,Everyone Welcome,1,1,Yes,,,
205,Common Room (Condo) for Rent in Aquarius By The Park,1200,150,2002,Condo,Aquarius By The Park,440,Everyone Welcome,1,0,Yes,,,
206,Common Room (HDB) for Rent in 8 Saint George's Lane,1000,100,-,HDB,8 Saint George's Lane,439,Everyone Welcome,1,0,Yes,,,
207,Common Room (HDB) for Rent in 15 Telok Blangah Crescent,950,250,1975,HDB,Telok Blangah Crescent,184,Everyone Welcome,1,0,Yes,,,
208,Master Room (HDB) for Rent in 613 Clementi West Street 1,1600,160,-,HDB,Clementi West Street 1,318,Everyone Welcome,1,1,Yes,,,
